Error log data for Pathfinder
time, t_taken, offerror, angleerror, offsetpid, anglepid, output
1491940387658, 87, 0, 6, 1.53, 6.57, 140
1491940387738, 79, 0, 6, 1.53, 6.57, 140
1491940387788, 49, 0, 6, 1.53, 6.57, 140
1491940387870, 80, 0, 6, 1.53, 6.57, 140
1491940387925, 54, 24, -3, 72.84, -13.86, 190
1491940388009, 83, 0, -1, -26.74, 1.13, 106
1491940388092, 81, 0, -1, -1.47, -1.26, 129
1491940388143, 47, 0, -1, -1.47, -1.26, 129
1491940388226, 82, 0, -1, -1.47, -1.26, 129
1491940388278, 50, 0, -1, -1.47, -1.26, 129
1491940388333, 55, 0, -1, -1.47, -1.26, 129
1491940388403, 62, 0, -1, -1.47, -1.26, 129
1491940388467, 63, 0, -1, -1.47, -1.26, 129
1491940388525, 56, 0, -1, -1.47, -1.26, 129
1491940388580, 53, 0, -1, -1.47, -1.26, 129
1491940388625, 44, 0, -1, -1.47, -1.26, 129
1491940388717, 90, 0, -1, -1.47, -1.26, 129
1491940388769, 48, 0, -1, -1.47, -1.26, 129
1491940388864, 94, 0, -1, -1.47, -1.26, 129
1491940388956, 89, 0, -1, -1.47, -1.26, 129
1491940389005, 48, 0, -1, -1.47, -1.26, 129
1491940389127, 121, 0, -1, -1.47, -1.26, 129
1491940389169, 41, 0, -1, -1.47, -1.26, 129
1491940389259, 89, 0, -1, -1.47, -1.26, 129
1491940389360, 100, 0, -1, -1.47, -1.26, 129
1491940389421, 56, 0, -1, -1.47, -1.26, 129
1491940389516, 91, 0, -1, -1.47, -1.26, 129
1491940389590, 73, 0, -1, -1.47, -1.26, 129
1491940389638, 46, 0, -1, -1.47, -1.26, 129
1491940389753, 113, 0, -1, -1.47, -1.26, 129
1491940389800, 47, 0, -1, -1.47, -1.26, 129
1491940389912, 111, 0, -1, -1.47, -1.26, 129
1491940389981, 68, 0, -1, -1.47, -1.26, 129
1491940390052, 69, 0, -1, -1.47, -1.26, 129
1491940390115, 62, 0, -1, -1.47, -1.26, 129
1491940390211, 95, 0, -1, -1.47, -1.26, 129
1491940390279, 65, 0, -1, -1.47, -1.26, 129
1491940390312, 33, 0, -1, -1.47, -1.26, 129
1491940390433, 120, 0, -1, -1.47, -1.26, 129
1491940390485, 51, 0, -1, -1.47, -1.26, 129
1491940390593, 107, 0, -1, -1.47, -1.26, 129
1491940390661, 67, 0, -1, -1.47, -1.26, 129
1491940390693, 30, 0, -1, -1.47, -1.26, 129
1491940390775, 77, 0, -1, -1.47, -1.26, 129
1491940390821, 45, 0, -1, -1.47, -1.26, 129
1491940390903, 81, 0, -1, -1.47, -1.26, 129
1491940390945, 41, 0, -1, -1.47, -1.26, 129
1491940391042, 96, 0, -1, -1.47, -1.26, 129
1491940391091, 49, 0, -1, -1.47, -1.26, 129
1491940391178, 85, 0, -1, -1.47, -1.26, 129
1491940391247, 67, 0, -1, -1.47, -1.26, 129
1491940391325, 76, 0, -1, -1.47, -1.26, 129
1491940391418, 92, 0, -1, -1.47, -1.26, 129
1491940391488, 69, 0, -1, -1.47, -1.26, 129
1491940391520, 30, 0, -1, -1.47, -1.26, 129
1491940391596, 68, 0, -1, -1.47, -1.26, 129
1491940391657, 60, 0, -1, -1.47, -1.26, 129
1491940391727, 70, 0, -1, -1.47, -1.26, 129
1491940391793, 65, 0, -1, -1.47, -1.26, 129
1491940391857, 64, 0, -1, -1.47, -1.26, 129
1491940391950, 92, 0, -1, -1.47, -1.26, 129
1491940392027, 76, 0, -1, -1.47, -1.26, 129
1491940392118, 77, 0, -1, -1.47, -1.26, 129
1491940392185, 66, 0, -1, -1.47, -1.26, 129
1491940392249, 63, 0, -1, -1.47, -1.26, 129
1491940392316, 66, 0, -1, -1.47, -1.26, 129
1491940392348, 31, 0, -1, -1.47, -1.26, 129
1491940392428, 74, 0, -1, -1.47, -1.26, 129
1491940392527, 98, 0, -1, -1.47, -1.26, 129
1491940392612, 84, 0, -1, -1.47, -1.26, 129
1491940392657, 43, 0, -1, -1.47, -1.26, 129
1491940392739, 81, 0, -1, -1.47, -1.26, 129
1491940392824, 84, 0, -1, -1.47, -1.26, 129
1491940392898, 73, 0, -1, -1.47, -1.26, 129
1491940392979, 81, 0, -1, -1.47, -1.26, 129
1491940393039, 59, 0, -1, -1.47, -1.26, 129
1491940393093, 53, 0, -1, -1.47, -1.26, 129
1491940393150, 57, 0, -1, -1.47, -1.26, 129
1491940393189, 37, 0, -1, -1.47, -1.26, 129
1491940393263, 73, 0, -1, -1.47, -1.26, 129
1491940393328, 64, 0, -1, -1.47, -1.26, 129
1491940393393, 65, 0, -1, -1.47, -1.26, 129
1491940393459, 65, 0, -1, -1.47, -1.26, 129
1491940393562, 102, 0, -1, -1.47, -1.26, 129
1491940393628, 65, 0, -1, -1.47, -1.26, 129
1491940393695, 66, 0, -1, -1.47, -1.26, 129
1491940393759, 63, 0, -1, -1.47, -1.26, 129
1491940393828, 68, 0, -1, -1.47, -1.26, 129
1491940393917, 88, 0, -1, -1.47, -1.26, 129
1491940393991, 74, 0, -1, -1.47, -1.26, 129
1491940394054, 62, 0, -1, -1.47, -1.26, 129
1491940394135, 80, 0, -1, -1.47, -1.26, 129
1491940394211, 76, 0, -1, -1.47, -1.26, 129
1491940394288, 76, 0, -1, -1.47, -1.26, 129
1491940394353, 64, 0, -1, -1.47, -1.26, 129
1491940394433, 79, 0, -1, -1.47, -1.26, 129
1491940394496, 63, 0, -1, -1.47, -1.26, 129
1491940394596, 99, 0, -1, -1.47, -1.26, 129
1491940394659, 54, 0, -1, -1.47, -1.26, 129
1491940394724, 64, 0, -1, -1.47, -1.26, 129
1491940394789, 64, 0, -1, -1.47, -1.26, 129
1491940394859, 70, 0, -1, -1.47, -1.26, 129
1491940394929, 68, 0, -1, -1.47, -1.26, 129
1491940395023, 94, 0, -1, -1.47, -1.26, 129
1491940395132, 108, 0, -1, -1.47, -1.26, 129
1491940395190, 57, 0, -1, -1.47, -1.26, 129
1491940395231, 40, 0, -1, -1.47, -1.26, 129
1491940395315, 65, 0, -1, -1.47, -1.26, 129
1491940395357, 42, 0, -1, -1.47, -1.26, 129
1491940395446, 87, 0, -1, -1.47, -1.26, 129
1491940395517, 70, 0, -1, -1.47, -1.26, 129
1491940395631, 110, 0, -1, -1.47, -1.26, 129
1491940395684, 52, 0, -1, -1.47, -1.26, 129
1491940395726, 40, 0, -1, -1.47, -1.26, 129
1491940395799, 73, 0, -1, -1.47, -1.26, 129
1491940395850, 50, 0, -1, -1.47, -1.26, 129
1491940395937, 83, 0, -1, -1.47, -1.26, 129
1491940396008, 70, 0, -1, -1.47, -1.26, 129
1491940396081, 72, 0, -1, -1.47, -1.26, 129
1491940396116, 35, 0, -1, -1.47, -1.26, 129
1491940396208, 90, 0, -1, -1.47, -1.26, 129
1491940396258, 48, 0, -1, -1.47, -1.26, 129
1491940396348, 90, 0, -1, -1.47, -1.26, 129
1491940396428, 71, 0, -1, -1.47, -1.26, 129
1491940396491, 61, 0, -1, -1.47, -1.26, 129
1491940396558, 67, 0, -1, -1.47, -1.26, 129
1491940396594, 35, 0, -1, -1.47, -1.26, 129
1491940396682, 86, 0, -1, -1.47, -1.26, 129
1491940396741, 59, 0, -1, -1.47, -1.26, 129
1491940396798, 50, 0, -1, -1.47, -1.26, 129
1491940396845, 47, 0, -1, -1.47, -1.26, 129
1491940396883, 37, 0, -1, -1.47, -1.26, 129
1491940396959, 75, 0, -1, -1.47, -1.26, 129
1491940397027, 66, 0, -1, -1.47, -1.26, 129
1491940397091, 63, 0, -1, -1.47, -1.26, 129
1491940397159, 65, 0, -1, -1.47, -1.26, 129
1491940397233, 73, 0, -1, -1.47, -1.26, 129
1491940397287, 53, 0, -1, -1.47, -1.26, 129
1491940397350, 61, 0, -1, -1.47, -1.26, 129
1491940397408, 56, 0, -1, -1.47, -1.26, 129
1491940397475, 65, 0, -1, -1.47, -1.26, 129
