Error log data for Pathfinder
time, t_taken, offerror, angleerror, offsetpid, anglepid, output
1491945944690, 39, 53, 18, 24.23, 18.12, 174
1491945944784, 93, 58, 21, 28.27, 23.47, 183
1491945944860, 68, 59, 21, 24.03, 22.08, 178
1491945944910, 49, 60, 21, 25.65, 21.75, 179
1491945944985, 75, 59, 25, 22.49, 29.25, 183
1491945945069, 83, 56, 27, 20.39, 28.59, 180
1491945945147, 76, 55, 29, 20.32, 31.40, 183
1491945945196, 48, 65, 28, 36.10, 27.96, 196
1491945945294, 97, 76, 26, 42.61, 24.97, 199
1491945945335, 41, 80, 28, 35.03, 29.48, 196
1491945945417, 81, 76, 29, 26.90, 30.26, 189
1491945945463, 45, 73, 28, 26.47, 28.52, 186
1491945945546, 82, 60, 30, 11.80, 33.12, 176
1491945945601, 55, 58, 30, 20.88, 30.57, 183
1491945945677, 75, 56, 30, 20.63, 31.05, 183
1491945945760, 81, 65, 27, 35.90, 25.01, 192
1491945945829, 69, 73, 26, 36.97, 25.20, 194
1491945945861, 31, 76, 26, 34.13, 26.13, 192
1491945945966, 104, 81, 27, 37.86, 28.26, 198
1491945946030, 56, 76, 28, 25.54, 29.05, 186
1491945946101, 70, 72, 28, 24.26, 28.85, 185
1491945946173, 70, 61, 30, 13.78, 32.42, 178
1491945946223, 49, 54, 30, 14.22, 30.89, 177
1491945946304, 79, 51, 30, 18.70, 30.33, 181
1491945946371, 66, 56, 29, 26.76, 28.42, 187
1491945946407, 35, 62, 27, 31.38, 26.38, 189
1491945946473, 64, 76, 25, 44.06, 23.93, 199
1491945946540, 64, 79, 25, 35.57, 24.57, 192
1491945946576, 35, 81, 24, 34.36, 24.71, 191
1491945946634, 58, 81, 24, 32.62, 24.98, 189
1491945946684, 47, 79, 22, 30.38, 19.67, 182
1491945946740, 56, 79, 22, 30.98, 21.78, 184
1491945946780, 39, 80, 21, 33.55, 21.80, 187
1491945946850, 61, 70, 25, 18.49, 28.18, 178
1491945946896, 44, 69, 26, 26.85, 28.11, 186
